scope,file_stem,event,emotion,intensity,spoken_es,popup_en,direction,priority,target_seconds
baseline,FIRE_GUN,FIRE_GUN,legacy,2,¡Fuego!,Fire!,"Short, controlled combat call while firing.",1,1.5
baseline,FIRE_LAUNCHER,FIRE_LAUNCHER,legacy,2,¡Va el lanzador!,Launcher!,Forceful warning before firing a launcher.,1,1.5
baseline,ATTACK_BLADE,ATTACK_BLADE,legacy,2,¡Te tengo!,Got you!,"Close combat, aggressive but natural.",1,1.5
baseline,ATTACK_HTH,ATTACK_HTH,legacy,2,¡Ven acá!,Come here!,"Close combat effort, aggressive.",1,1.5
baseline,THROW_KNIFE,THROW_KNIFE,legacy,2,¡Cuidado!,Watch it!,Sharp warning during a knife throw.,1,1.5
baseline,THROW_GRENADE,THROW_GRENADE,legacy,2,¡Granada!,Grenade!,"Clear warning, projected voice.",1,1.5
baseline,OUT_OF_AMMO,OUT_OF_AMMO,legacy,2,¡Sin munición!,Out of ammo!,Urgent tactical report.,1,1.5
baseline,RELOAD,RELOAD,legacy,2,¡Recargando!,Reloading!,Brief professional call.,1,1.5
baseline,STEAL,STEAL,legacy,2,¡Dámelo!,Give it to me!,Close-range struggle.,1,1.5
baseline,CHARGE_BLADE,CHARGE_BLADE,legacy,2,¡Voy por ti!,I'm coming for you!,Aggressive charge.,1,1.5
baseline,CHARGE_HTH,CHARGE_HTH,legacy,2,¡Vamos!,Come on!,Aggressive close charge.,1,1.5
baseline,RUN_AWAY,RUN_AWAY,legacy,2,¡Retirada!,Fall back!,Controlled withdrawal call.,1,1.5
baseline,SEEK_NOISE,SEEK_NOISE,legacy,2,Voy a revisar.,I'll check it.,"Low/medium voice, cautious.",1,1.5
baseline,ALERT,ALERT,legacy,2,¡Alerta!,Alert!,Immediate contact alert.,1,1.5
baseline,SUSPICIOUS,SUSPICIOUS,legacy,2,¿Qué fue eso?,What was that?,"Suspicious, not yet panicked.",1,1.5
baseline,NOTICED_UNSEEN,NOTICED_UNSEEN,legacy,2,¡Contacto!,Contact!,Sudden unseen threat.,1,1.5
baseline,SAY_HI,SAY_HI,legacy,2,¡Ahí estás!,There you are!,"Enemy spotted, confident.",1,1.5
baseline,INFORM_ABOUT,INFORM_ABOUT,legacy,2,¡Se movió por ahí!,He moved over there!,Passing location information.,1,1.5
baseline,GOT_HIT,GOT_HIT,legacy,2,¡Ah!,Ah!,"Short impact reaction, not a theatrical scream.",1,1.5
baseline,GOT_HIT_GUNFIRE,GOT_HIT_GUNFIRE,legacy,2,¡Me dieron!,I'm hit!,"Gunshot impact, intelligible.",1,1.5
baseline,GOT_HIT_BLADE,GOT_HIT_BLADE,legacy,2,¡Carajo!,Damn!,"Blade injury, sharp pain.",1,1.5
baseline,GOT_HIT_HTH,GOT_HIT_HTH,legacy,2,¡Mierda!,Damn!,"Blunt hit, angry pain.",1,1.5
baseline,GOT_HIT_FALLROOF,GOT_HIT_FALLROOF,legacy,2,¡Aaah!,Aah!,"Falling scream, non-lexical.",1,1.5
baseline,GOT_HIT_BLOODLOSS,GOT_HIT_BLOODLOSS,legacy,2,Estoy sangrando.,I'm bleeding.,Weak/strained report.,1,1.5
baseline,GOT_HIT_EXPLOSION,GOT_HIT_EXPLOSION,legacy,2,¡Dios!,God!,Blast shock.,1,1.5
baseline,GOT_HIT_GAS,GOT_HIT_GAS,legacy,2,¡No puedo respirar!,I can't breathe!,"Choking/strained, never full-voice screaming.",1,1.5
baseline,GOT_HIT_TENTACLES,GOT_HIT_TENTACLES,legacy,2,¡Quítamelo!,Get it off me!,"Fear/disgust, urgent.",1,1.5
baseline,GOT_HIT_STRUCTURE_EXPLOSION,GOT_HIT_STRUCTURE_EXPLOSION,legacy,2,¡Abajo!,Get down!,Blast/debris reaction.,1,1.5
baseline,GOT_HIT_OBJECT,GOT_HIT_OBJECT,legacy,2,¡Mierda!,Damn!,Generic impact pain.,1,1.5
baseline,GOT_HIT_THROWING_KNIFE,GOT_HIT_THROWING_KNIFE,legacy,2,¡Me dio!,It hit me!,Sharp surprise/pain.,1,1.5
baseline,GOT_DEAFENED,GOT_DEAFENED,legacy,2,¡No oigo!,I can't hear!,"Disoriented, raised voice.",1,1.5
baseline,GOT_BLINDED,GOT_BLINDED,legacy,2,¡No veo!,I can't see!,Disoriented and frightened.,1,1.5
baseline,GOT_ROBBED,GOT_ROBBED,legacy,2,¡Devuélvelo!,Give it back!,Angry protest.,1,1.5
baseline,GOT_MISSED,GOT_MISSED,legacy,2,¡Fallaste!,You missed!,Defiant reaction.,1,1.5
baseline,GOT_MISSED_GUNFIRE,GOT_MISSED_GUNFIRE,legacy,2,¡Cerca!,That was close!,Startled but controlled.,1,1.5
baseline,GOT_MISSED_BLADE,GOT_MISSED_BLADE,legacy,2,¡Muy lento!,Too slow!,Defiant close-combat taunt.,1,1.5
baseline,GOT_MISSED_HTH,GOT_MISSED_HTH,legacy,2,¡Ni cerca!,Not even close!,Defiant close-combat taunt.,1,1.5
baseline,GOT_MISSED_THROWING_KNIFE,GOT_MISSED_THROWING_KNIFE,legacy,2,¡Por poco!,That was close!,Startled reaction.,1,1.5
baseline,HIT,HIT,legacy,2,¡Le di!,I hit him!,Brief confirmation.,1,1.5
baseline,HIT_GUNFIRE,HIT_GUNFIRE,legacy,2,¡Le di!,Hit!,Brief gunfire confirmation.,1,1.5
baseline,HIT_BLADE,HIT_BLADE,legacy,2,¡Lo tengo!,Got him!,Close-combat confirmation.,1,1.5
baseline,HIT_HTH,HIT_HTH,legacy,2,¡Toma!,Take that!,Close-combat impact.,1,1.5
baseline,HIT_EXPLOSION,HIT_EXPLOSION,legacy,2,¡Le dio!,That got him!,Blast hit confirmation.,1,1.5
baseline,HIT_THROWING_KNIFE,HIT_THROWING_KNIFE,legacy,2,¡Le di!,Hit!,Knife hit confirmation.,1,1.5
baseline,KILL,KILL,legacy,2,¡Cayó!,He's down!,Brief kill confirmation.,1,1.5
baseline,KILL_GUNFIRE,KILL_GUNFIRE,legacy,2,¡Uno menos!,One down!,Controlled combat confirmation.,1,1.5
baseline,KILL_BLADE,KILL_BLADE,legacy,2,¡Se acabó!,It's over!,Close-combat kill reaction.,1,1.5
baseline,KILL_HTH,KILL_HTH,legacy,2,¡Fuera!,Down!,Close-combat kill reaction.,1,1.5
baseline,KILL_THROWING_KNIFE,KILL_THROWING_KNIFE,legacy,2,¡Cayó!,He's down!,Knife kill confirmation.,1,1.5
baseline,HEAD_POP,HEAD_POP,legacy,2,¡Dios!,God!,Shock at extreme wound; brief.,1,1.5
baseline,MISS,MISS,legacy,2,¡Mierda!,Damn!,Frustrated miss.,1,1.5
baseline,MISS_GUNFIRE,MISS_GUNFIRE,legacy,2,¡Fallé!,Missed!,Short frustration.,1,1.5
baseline,TAUNT_MISS_BLADE,TAUNT_MISS_BLADE,legacy,2,¡Quieto!,Hold still!,Aggressive close-combat miss.,1,1.5
baseline,MISS_HTH,MISS_HTH,legacy,2,¡Carajo!,Damn!,Frustrated close-combat miss.,1,1.5
